latitude,longitude,elevation,distance,cumulative_distance
45.489222,-73.567712,28.0,0.0,0.0
45.488883,-73.567053,26.6,3.0691961196494555,65.78011324562418
45.488064,-73.565843,25.8,3.4980694694851047,201.83046421094707
45.487072,-73.564448,26.4,2.1391692896015466,359.8459561769683
45.486256,-73.564902,27.8,3.273765979950347,511.71417736194996
45.485546,-73.566272,27.6,0.0,646.954377887994
45.484717,-73.567718,31.2,3.3970909446793067,807.3591319855294
45.484166,-73.568576,30.2,0.0,903.0961212343163
45.483728,-73.569222,31.8,3.4885998433692134,976.0562982707524
45.482675,-73.570413,31.0,3.2659460959485656,1129.398195557734
45.481786,-73.571718,30.6,3.397148087781254,1276.0478819393738
45.480771,-73.572826,30.0,3.5330545797810022,1421.2197953858793
45.480691,-73.572851,30.2,0.0,1432.2352717669573
45.480099,-73.573638,31.4,3.2739727521679214,1525.831040986364
45.479094,-73.574874,31.4,2.996610670952266,1674.2000478134996
45.479888,-73.576339,28.6,3.822295280309682,1836.4084820643725
45.480653,-73.577242,28.2,3.273954784954131,1948.7086669891537
45.481693,-73.578093,27.2,3.0632066950355616,2083.4651143871374
45.48255,-73.578675,26.8,2.163158194706331,2192.2853050992644
45.483699,-73.579309,26.4,0.0,2330.9776633339247
45.48377,-73.57936,26.0,0.0,2339.927670803918
45.484774,-73.580058,27.4,3.7088444004593066,2465.772082134673
45.485549,-73.580557,30.4,0.0,2561.205316342615
45.486106,-73.580928,34.4,2.9564727358306166,2633.4110067668475
45.487069,-73.581683,45.4,2.877305671816026,2758.3966720168264
45.48792,-73.582778,53.2,0.0,2889.2321841074304
45.488138,-73.58288,54.4,0.0,2920.7155101928424
45.488285,-73.583104,55.4,2.7006288423725016,2945.258814486897
45.489251,-73.584224,55.8,0.0,3088.9954524539266
45.48943,-73.584442,56.2,4.2840725319485164,3116.0253611711214
45.490275,-73.58608,57.0,2.0720883612624648,3284.0100497730796
45.491155,-73.587341,59.6,2.5816940539249646,3425.2703862927365
45.491526,-73.588205,62.8,2.834769113008999,3505.9097419272975
45.492262,-73.589414,66.6,2.4896866161202853,3635.980428911188
45.493235,-73.589574,78.6,0.0,3750.420165470375
45.49393,-73.588973,89.2,0.0,3842.9066962687248
45.494781,-73.588371,99.0,2.9274886854354234,3961.6628337046645
45.495171,-73.588698,102.4,0.0,4018.924068859515
45.495149,-73.589075,105.2,0.0,4059.6020658381112
45.494915,-73.590426,116.6,2.6194818826781514,4171.2197165325715
45.49489,-73.591514,121.4,2.7175144419570083,4260.499741319388
45.495155,-73.591661,122.4,0.0,4298.548929137348
45.495418,-73.592832,134.2,3.2559355428654015,4405.578620859041
45.49543,-73.594464,139.4,2.540460930088603,4541.087585971881
45.495536,-73.595789,146.2,3.533158701868538,4646.809490616076
45.495472,-73.596282,148.2,3.066589069237717,4686.714608466711
45.495552,-73.597978,152.2,3.066584778934433,4820.344658244182
45.495638,-73.599578,156.2,2.5012511523647967,4946.791041038412
45.495651,-73.60121,157.2,2.0594361077489953,5075.005683726024
45.495248,-73.602445,155.0,0.0,5189.99443608541
45.4952,-73.602656,153.4,2.493537638532846,5211.271226643851
45.494282,-73.603654,157.8,2.877137765582943,5344.089142983744
45.494147,-73.604173,162.0,0.0,5395.152542267946
45.493904,-73.60457,171.8,0.0,5438.133543735609
45.493722,-73.604563,178.2,3.533270929886918,5466.9405007427395
45.49351,-73.603155,185.0,2.444088897294709,5584.24514455158
45.493088,-73.603994,196.0,0.0,5686.323210647526
45.492893,-73.60407,195.8,3.442494011856457,5711.054195918498
45.492259,-73.604186,201.6,2.888695475874614,5790.497473702357
45.491824,-73.60441,202.4,2.618868131706734,5854.343819814347
45.491486,-73.604242,198.2,0.07816984220989737,5900.674763194283
45.491493,-73.604207,198.0,0.07816983252645321,5903.921532900603
45.491498,-73.604186,197.2,0.0,5905.9585076780395
45.492819,-73.60343,196.0,3.5488273160067214,6071.85418188399
45.493424,-73.603354,190.8,3.6144719048342786,6211.751728338374
45.493027,-73.601555,181.2,3.2448174385562116,6360.878790036021
45.493562,-73.600659,182.4,3.130074260124958,6512.953625613638
45.493482,-73.599693,176.0,2.75082421346629,6620.749523053647
45.493578,-73.599507,172.4,0.0,6640.040927594966
45.493898,-73.599078,155.8,0.0,6692.05539869702
45.493831,-73.598904,153.4,0.13587653914562015,6711.917311237218
45.493793,-73.598873,153.0,0.13587657005247206,6717.334926418614
45.493168,-73.59799,142.4,3.529273227223915,6818.825526697632
45.494166,-73.597107,141.4,3.7385622408510253,6957.829445810824
45.494861,-73.596506,144.2,0.0,7050.87458948942
45.495296,-73.595251,147.4,2.5233914768503247,7169.0091496722425
45.495107,-73.593414,136.0,3.0666084818590194,7315.015696387212
45.494957,-73.592858,129.8,2.010479340997949,7364.569041340515
45.494976,-73.591994,123.2,0.0,7433.585174659435
45.494899,-73.590605,118.6,4.505039889794439,7549.215797955469
45.495232,-73.58864,104.8,3.461885323403382,7708.3856825632865
45.496134,-73.587213,94.0,2.5816202782485007,7863.909039445905
45.496262,-73.585376,83.4,2.059414533214968,8023.002828892432
45.496381,-73.583629,72.8,0.0,8161.276447860836
