latitude,longitude,elevation,distance,cumulative_distance
45.489558,-73.567917,26.0,0.0,0.0
45.489924,-73.567381,26.0,1.473037972137644,78.06486117046842
45.490362,-73.568147,24.6,4.383186352158823,163.4753310527758
45.491043,-73.569555,22.0,2.642225249597938,299.67036889052406
45.491414,-73.570246,22.6,2.834773475342496,368.899964312194
45.492208,-73.571539,29.0,3.3031698207075118,506.31031795420813
45.492534,-73.572326,33.2,3.4620065806100704,580.3187603361322
45.493168,-73.573472,41.2,3.0690428698979644,699.0703790561971
45.49361,-73.574682,47.0,3.9784218712259354,808.7387090779922
45.493962,-73.575507,49.6,3.6024987520043568,890.7008406068528
45.494678,-73.576934,52.8,3.068988661437255,1035.506736378794
45.495133,-73.578432,54.4,0.0,1168.7794275340398
45.495549,-73.579302,55.4,0.0,1253.2077769216748
45.495802,-73.580077,56.8,4.436336588368854,1324.763654720036
45.49649,-73.58145,62.8,3.163131223283041,1459.943949638485
45.496477,-73.583085,70.2,3.120441003270819,1592.6691260434163
45.496352,-73.584634,77.0,3.941306716665033,1719.6840517481933
45.496282,-73.586182,87.2,2.523348216725902,1844.5648776843534
45.496448,-73.587034,92.8,2.059407931936218,1920.5822532047284
45.497123,-73.587149,101.6,3.12999903462787,2035.6762164967363
45.498272,-73.586355,101.4,11.781000477115734,2184.2528759029483
45.499232,-73.585677,105.0,2.489678662050019,2307.6111062431405
45.499981,-73.585408,111.4,0.0,2395.6897219504044
45.499955,-73.586291,119.6,0.0,2479.3763879055555
45.499443,-73.587488,130.4,2.7003286719075645,2590.413577669765
45.498714,-73.58857,131.4,0.0,2709.1980969924857
45.497702,-73.589555,135.6,2.9274862438284908,2846.9018565387432
45.49664,-73.590387,136.2,2.8607816757659092,2983.725679839721
45.495488,-73.591418,127.4,3.1794183527027884,3136.8377598549932
45.49537,-73.592147,129.4,0.0,3208.9067881142855
45.49537,-73.592147,130.0,0.0,3208.9067881142855
45.49537,-73.592147,129.4,0.0,3208.9067881142855
45.49536,-73.592224,129.2,4.143986196219647,3216.579945263727
45.495293,-73.593843,135.4,3.070452402554239,3352.437672138248
45.49544,-73.595443,145.6,3.0441827374067456,3481.6847394873867
45.49544,-73.597062,150.6,2.0647590800865294,3610.325014069892
45.495558,-73.598662,155.2,2.52338011459216,3737.0415928817506
45.495645,-73.600262,157.8,3.4392199096489966,3864.0157485331374
45.495466,-73.601997,158.0,3.120494266130437,4003.8668473149332
45.495286,-73.602758,154.4,0.0,4067.2113289900594
45.494861,-73.602918,153.0,2.489683625743356,4117.423662939545
45.494227,-73.603917,160.6,2.5234385102985417,4230.966252589979
45.494147,-73.605408,168.4,2.970314127033423,4353.084783009144
45.493866,-73.606035,174.8,2.1389373582907134,4455.936071586382
45.493629,-73.60471,179.6,3.048508235648218,4565.025567970233
45.493507,-73.603226,185.2,0.0,4682.560603853971
45.493085,-73.604096,195.0,4.096260503399332,4788.672200085523
45.492976,-73.604326,196.4,0.0,4818.503656474019
45.493107,-73.605677,196.0,3.5333092269749122,4927.099420696459
45.493302,-73.60729,196.2,2.176170195307754,5057.945617548277
45.492714,-73.608538,196.2,3.188159351225123,5178.427751500449
45.49175,-73.609696,191.2,3.5765262053847224,5320.154533906084
45.490925,-73.610598,195.6,0.0,5437.3926352364515
45.490256,-73.610259,196.8,3.7086016024291477,5544.156574573763
45.490102,-73.608563,198.2,2.6940729031738626,5688.884982135088
45.49049,-73.606906,193.8,3.0706964849925362,5827.029949112975
45.491107,-73.605504,197.0,3.497974744860828,5959.641649860835
45.49144,-73.60471,199.2,0.0,6037.168731022201
45.491389,-73.604614,196.0,0.0,6055.3026351630815
45.49144,-73.604486,196.0,2.1287956611203374,6069.372586887788
45.492336,-73.603494,193.8,2.4896865336030265,6199.395112983627
45.493142,-73.604045,194.8,3.4619792550413577,6331.700182125636
45.493232,-73.602483,182.6,2.888658300086254,6466.669540987689
45.493222,-73.600986,177.8,3.6781427668469675,6608.074588424247
45.493446,-73.599821,174.6,2.8346943246727747,6712.770618929706
45.49367,-73.599411,167.6,2.111687072201801,6758.008519727047
45.493904,-73.599027,152.0,3.120576554906843,6803.0169191088
