latitude,longitude,elevation,distance,cumulative_distance
45.477609,-73.620989,84.7,0.0,0.0
45.47826,-73.620536,88.4,9.04028325285292,82.99524311848421
45.478842,-73.620617,88.8,9.292743096620303,155.02375758543337
45.479445,-73.621176,88.1,7.642916936514888,235.33839141505553
45.479971,-73.621763,87.7,9.171394928189128,310.1117866809951
45.480498,-73.622601,86.6,18.754228451443133,398.5437802806827
45.480722,-73.623152,85.5,9.469910188098808,460.17032075254195
45.481164,-73.624028,81.6,9.992167626349172,545.0121389520036
45.481566,-73.624809,79.0,6.241551803558105,621.2851791937686
45.481941,-73.625774,76.5,10.288468697645424,707.9151984831773
45.482354,-73.626608,75.2,10.836681107845575,788.5205450747362
45.482697,-73.627422,74.6,9.785382480045012,863.6601207718918
45.48307,-73.628291,74.1,7.1740411052094775,943.6127031222261
45.483448,-73.629048,73.9,5.840123490764042,1016.9060081063351
45.483948,-73.628744,74.0,7.747605367113786,1094.099913889915
45.484617,-73.628253,74.8,8.971751421416524,1178.5490677994906
45.485114,-73.627806,76.1,8.424768454525568,1244.7217862023247
45.485621,-73.627421,76.9,3.448278587366143,1311.4625426808411
45.48626,-73.626795,79.2,13.875073995893054,1398.3123964455679
45.486685,-73.626377,81.4,5.344762470261791,1457.52038759768
45.48712,-73.625961,83.4,3.9171423609130325,1517.8182805077918
45.487764,-73.625497,86.0,5.410730165577507,1598.6005346944548
45.48835,-73.62496,88.9,9.699857602232509,1676.2376447615386
45.488764,-73.624494,91.0,11.364411072661616,1737.3314270574647
45.489362,-73.623961,94.2,12.151948922861438,1816.8215005178054
45.489944,-73.62349,97.8,12.901656779801895,1892.6112215648998
45.490415,-73.623052,100.5,8.576828504543466,1955.6183452700848
45.490933,-73.622627,104.1,4.6377040728079635,2022.9226806047304
45.491165,-73.622136,107.4,4.930773832826752,2078.696821051175
45.49079,-73.621364,110.8,6.010317387475,2152.1842172443485
45.490423,-73.620527,114.7,8.233054684455537,2229.7623318413494
45.490328,-73.619774,118.4,3.964798264068652,2295.5387974514765
45.490187,-73.619203,122.2,4.847915841333984,2348.6041107039655
45.49058,-73.618693,130.1,11.532692428077242,2411.599925411025
45.491055,-73.618731,137.6,8.066446699879764,2466.292933034707
45.491188,-73.618228,144.6,3.6026956284256144,2512.5266000884226
45.491006,-73.617856,150.6,4.439487400865805,2550.5985223863513
45.490762,-73.617406,157.2,5.998002007204674,2596.8760988320582
45.490905,-73.616787,163.9,4.575355844394993,2658.04298192074
45.491235,-73.616278,170.4,4.148978688459893,2714.953410430937
45.49076,-73.615838,171.0,2.6747013482644464,2780.272072975585
45.49098,-73.614894,175.5,5.057565672863836,2868.4720730600698
45.491461,-73.61437,179.0,5.43948590015238,2938.6143178072984
45.49124,-73.613749,179.4,5.856146877878971,3003.2941547317623
45.490762,-73.61285,180.2,9.584034151084238,3091.892134416704
45.490441,-73.612082,181.2,5.460215000109481,3162.8485360906348
45.490156,-73.611527,182.9,1.8073302776868712,3217.856038007277
45.49054,-73.610868,188.0,5.546817143016816,3294.3572088491505
45.491082,-73.610423,187.3,6.428391024292362,3364.4175700959736
45.49155,-73.609938,185.3,5.181574993473282,3430.016528776912
45.491978,-73.609387,184.8,10.865022925057358,3495.6352407201
45.492436,-73.608872,186.8,4.607835306633134,3563.6591239617987
45.492852,-73.608479,188.7,5.8988854697117485,3619.943169656807
45.493185,-73.607806,188.7,6.905994005527902,3685.360025230786
45.49332,-73.607012,188.7,9.060512362040962,3751.902383022927
45.493274,-73.606335,188.5,9.800375477823692,3807.9813376333636
45.493178,-73.605512,188.2,8.083861787973792,3875.2516723583644
