latitude,longitude,elevation,distance,cumulative_distance
45.471866,-73.613683,67.4,0.0,0.0
45.471846,-73.614253,67.4,2.835535579350828,54.61734725720272
45.472221,-73.615091,68.6,3.17251435645024,133.85976615078712
45.47272,-73.615878,71.8,3.2742211852941443,220.01807751905358
45.473382,-73.615776,72.8,2.9586391927514946,311.1731593743178
45.473904,-73.615334,77.2,0.0,379.4211615604756
45.473904,-73.615334,77.0,0.0,379.4211615604756
45.474288,-73.61577,77.6,3.2741685317768243,438.16920704358347
45.474806,-73.617018,79.2,3.709284317124907,552.2111551705868
45.475606,-73.616819,83.8,3.7391051861872504,661.3152411566847
45.476445,-73.616083,88.2,3.8543316524147446,772.4824938715086
45.477107,-73.615462,90.0,0.0,861.1227763305355
45.477546,-73.615066,90.6,3.2179736910453065,963.5234038308448
45.478413,-73.614272,92.2,3.2660404977005784,1079.2056089813927
45.479104,-73.613402,95.8,3.2740068055543357,1182.5173763695404
45.479805,-73.612506,99.0,2.317113514560207,1287.8487316154844
45.480432,-73.611795,98.6,3.2454554612965927,1379.3571968411966
45.480941,-73.610746,95.4,3.488653155455464,1486.5879800988796
45.481773,-73.610189,96.6,3.7694470649739764,1589.5564203650256
45.482429,-73.609555,96.6,3.533021491229557,1678.746898527104
45.483213,-73.608832,97.0,2.700765082682602,1784.0567347434305
45.483949,-73.608134,97.6,2.9965427762410526,1883.768015468997
45.484701,-73.60745,98.8,2.5817896814383388,1984.2032918090956
45.485286,-73.606752,101.6,3.044703580581911,2072.0599488530884
45.485952,-73.605862,104.0,3.532950059636453,2174.910384983349
45.486538,-73.604858,104.0,3.3465249144400313,2277.640559566782
45.487229,-73.603827,103.8,3.8220854255144494,2389.5023407424947
45.487949,-73.60304,107.2,2.956449118715445,2491.0769279854508
45.488675,-73.602419,113.8,3.5488707657669325,2586.373720573322
45.489251,-73.601581,116.2,4.110386545368338,2684.893356148581
45.489955,-73.600531,116.8,2.5817118344222285,2801.967578377241
45.490704,-73.599802,120.4,2.5817007366591396,2903.6394504670175
45.491357,-73.599149,123.4,4.348111422583322,2993.521182716477
45.491779,-73.598726,123.0,0.0,3056.406980933888
45.492522,-73.598272,127.8,3.379499840659521,3148.210668018675
45.493344,-73.597677,133.6,3.769245201955292,3251.7972101428345
45.494186,-73.596998,136.0,3.8103419496021695,3360.3535986446964
45.494797,-73.596486,139.2,0.0,3439.8419286257813
45.495405,-73.595834,141.8,2.5012614684477663,3534.3111828609526
45.49559,-73.595482,146.2,2.1116877856090057,3586.0376363803975
45.495885,-73.594957,153.4,0.0,3644.6231405604426
45.4964,-73.594976,161.4,2.3434431745487183,3721.2328584421352
45.496995,-73.595731,168.4,2.877075216491467,3812.612710724174
45.497344,-73.596774,168.8,2.581602349023668,3908.0756406742516
45.497808,-73.597536,166.4,0.0,3989.6700351616605
45.497917,-73.598509,167.8,2.0593556968095608,4073.8261791103614
45.497798,-73.599635,171.0,2.247991820982724,4169.58152093048
45.497645,-73.60055,168.8,0.0,4246.804382841459
45.497152,-73.601427,170.8,3.1712882474176722,4336.936781700621
45.496803,-73.60199,161.8,2.310622608374419,4413.590054680973
45.496272,-73.602298,155.0,3.223102809276509,4481.062022342333
45.495862,-73.602067,152.4,2.6732989347296567,4532.653844265878
45.495597,-73.601779,151.0,0.0,4573.582060588572
45.495654,-73.600576,151.2,2.970234902365726,4668.737855381646
45.49543,-73.599776,150.6,2.970246678260904,4745.117537673784
45.494899,-73.598976,145.8,4.000340569511957,4856.645491467276
45.494266,-73.598451,144.0,3.1300592956293936,4968.443172412703
45.493891,-73.59904,147.8,2.5886930895785123,5038.692305462308
45.493693,-73.599328,160.0,2.930804106857298,5071.095550778843
45.493478,-73.599654,167.4,0.0,5108.687557656644
45.493283,-73.600762,174.2,2.6195508057069947,5204.5726086404175
45.49303,-73.601888,172.6,3.533313998466042,5314.988143768669
45.493427,-73.603014,177.4,4.000444055285263,5417.531863713573
45.493203,-73.603936,184.6,2.0720334759215353,5498.556978526288
45.492905,-73.604271,188.6,0.8881136907448589,5547.156976094755
45.492518,-73.605178,194.2,2.1287736818585024,5631.320224808375
45.49201,-73.606003,200.4,3.130107251340476,5720.161657614498
45.4912,-73.606598,201.6,4.383155827700644,5827.8248542668825
45.490829,-73.607699,199.8,1.982507982808392,5926.644003031229
45.490384,-73.608928,195.6,5.568503971277321,6035.488519546606
45.489872,-73.609696,189.6,0.0,6132.495867669646
45.489322,-73.610349,181.6,3.854208354080332,6213.296438005307
45.488915,-73.610099,169.2,2.0481663964600045,6265.671124104246
45.488349,-73.609779,156.8,0.0,6334.909872868628
45.48793,-73.609427,143.6,2.18143681901438,6390.0138944188375
45.487542,-73.609152,131.6,2.9564540410903413,6439.418295457085
45.487376,-73.609037,125.6,0.0,6460.200738066757
45.486934,-73.609715,125.0,3.069266080793583,6547.402131806377
