latitude,longitude,elevation,distance,cumulative_distance
45.472322,-73.587459,21.2,0.0,0.0
45.47285,-73.588928,21.5,20.107782513183256,130.78967150303725
45.473475,-73.590086,20.9,6.54116122052385,248.4504581858707
45.474041,-73.591369,22.0,5.994880807380298,367.89835707460094
45.474598,-73.592612,22.5,6.371513931522186,485.35402003490236
45.47511,-73.593695,24.2,0.15638498654968389,589.6760058912485
45.475785,-73.595019,26.2,8.330975064769527,718.9814622640205
45.475847,-73.596394,31.3,6.3490924944390565,853.2810798714099
45.475209,-73.597268,39.1,6.6543182753492225,952.8681683436454
45.474658,-73.598169,45.3,8.31369563978244,1046.8022172373114
45.474481,-73.599324,44.7,7.591233475258893,1150.0716436629727
45.474584,-73.600713,47.2,9.556118633892499,1271.6868946612256
45.474166,-73.601915,50.6,6.537821995391907,1388.352928751774
45.473498,-73.603122,50.7,9.594567764055025,1508.730607285749
45.472704,-73.604084,50.6,9.961951975372182,1627.1044754631328
45.472922,-73.605364,48.7,6.814300436584008,1752.6457842089062
45.473386,-73.606517,52.1,8.609115743984379,1861.8229588949705
45.473815,-73.607866,53.9,5.943804807492154,1982.34299136586
45.474026,-73.609003,58.2,9.199397093149763,2095.5016190393676
45.473397,-73.610076,60.7,3.2737691842168997,2206.9169113440603
45.472758,-73.611311,61.1,8.881184771427618,2328.1306467376953
45.472149,-73.612492,62.0,8.59509929851154,2445.3499777382435
45.471833,-73.613744,63.2,29.741060795509792,2559.1091254843896
45.472667,-73.614197,68.0,8.915652789500811,2667.1426040638576
45.473499,-73.614867,71.7,6.8293989332254315,2781.877286450145
45.474158,-73.615066,73.5,8.018217918852976,2883.617740634104
45.475073,-73.614268,76.5,5.00486946281882,3005.507454046623
45.475995,-73.613526,79.8,9.504889022462116,3123.972902302639
45.476843,-73.612764,82.2,7.0778477282189645,3249.4229387170217
45.477781,-73.61173,83.3,10.253863435624103,3383.102122663418
45.478638,-73.610672,83.7,7.313065915119211,3511.94368788667
45.479323,-73.609738,84.0,19.18445774310489,3629.253252998822
45.480144,-73.608645,84.0,7.557270698019332,3757.6138361482604
45.481098,-73.608099,86.0,10.369483597250316,3886.886832273192
45.481622,-73.609342,90.9,6.542565342473249,4001.8134692316958
45.482132,-73.610108,95.6,10.598612196352237,4095.3039148252574
45.482726,-73.611422,100.8,7.126302094854128,4218.88612510046
45.483204,-73.612558,110.5,7.814851473884957,4323.610065967873
45.48368,-73.613539,119.8,4.437300385719413,4417.6410675158195
45.484128,-73.614455,128.6,4.184812589114738,4506.694351556677
45.484113,-73.614839,129.6,20.67644702970259,4574.989935302155
45.484718,-73.61615,128.9,6.225062482529665,4698.655146458548
45.485326,-73.617606,124.6,12.916858473181398,4833.94129444734
45.485992,-73.618862,118.2,6.5878200016828234,4959.656080589448
45.486667,-73.619649,112.2,9.77072000896762,5083.312320257935
45.487526,-73.619083,119.3,5.644847004110549,5194.7327707160575
45.488364,-73.618918,119.9,9.89281308239085,5308.064537303363
45.488816,-73.618178,128.8,6.833179294513502,5416.502954606011
45.489217,-73.617651,142.2,8.956918647369395,5525.187056187643
45.488746,-73.6165,148.4,7.287378672399779,5633.580449999856
45.489189,-73.61591,154.3,6.938721195512929,5727.357429856942
45.49016,-73.616232,163.9,7.034423571398709,5875.877889774868
45.490871,-73.615926,171.0,8.531168385379095,5966.735951793892
45.491444,-73.616115,174.4,14.09450558012665,6058.624879045241
45.491477,-73.616772,164.5,7.88231475634806,6167.783687246094
45.492189,-73.617293,157.8,2.766010841868565,6271.25639053446
45.492041,-73.617326,153.3,3.77291469124218,6384.348230316194
45.491182,-73.617869,149.4,9.294297991625873,6501.077057309482
45.490689,-73.618791,131.8,6.448094931329869,6633.236921833515
45.49048,-73.619741,118.6,16.675785374550014,6765.7991455471765
45.491413,-73.620099,116.6,6.706622360930451,6896.360297202363
45.49237,-73.620302,116.0,8.247829512697622,7021.942953016626
45.492965,-73.620711,114.2,7.621551464070657,7117.548844129419
45.493877,-73.619909,114.8,6.750387039544853,7238.096356292338
45.494756,-73.619035,113.0,6.428206363015826,7360.037813870988
45.494804,-73.617845,114.5,8.627109888676435,7466.114953817627
45.495126,-73.616328,118.5,8.172188994934936,7590.985463486834
45.495307,-73.614973,121.0,4.352441426211566,7699.832180062217
45.495296,-73.613378,124.2,7.168332452532097,7826.740593292861
45.495352,-73.611894,126.8,6.410452112565283,7944.091285162855
45.49559,-73.610486,129.0,6.888533654567477,8060.822217926547
45.495093,-73.610026,134.0,5.260053807862987,8156.74584425283
45.494311,-73.60983,136.6,7.981017327598958,8257.097826018178
45.493666,-73.609321,152.6,8.10161555510443,8354.115007750253
45.493288,-73.609663,167.5,10.138388363138729,8437.240927220799
45.492973,-73.609308,180.2,8.607283461753788,8502.100098761379
45.492665,-73.608506,188.3,8.745642467995149,8613.52805476616
45.491721,-73.609586,184.8,8.98350524322924,8749.739961514395
45.490933,-73.610556,187.8,4.067433916109785,8867.251521493648
45.490133,-73.609987,190.0,5.6512808310897205,8990.5881890243
45.489328,-73.610364,180.9,10.084076171712994,9111.176585917201
