latitude,longitude,elevation,distance,cumulative_distance
45.477034,-73.621446,82.6,0.0,0.0
45.477908,-73.620624,86.7,5.972007980700902,117.57509008570489
45.478662,-73.619914,90.5,7.188374205605892,218.43066534666153
45.47881,-73.619042,92.5,6.356866196685333,318.9936306859973
45.478266,-73.617937,92.9,10.101141573188704,425.4190282291626
45.477808,-73.616837,92.0,5.07348230283816,525.813367902334
45.47729,-73.61564,88.6,8.659354518033101,637.2848218550419
45.477848,-73.614821,88.6,8.984168052169082,738.8771907250775
45.478568,-73.614164,90.2,7.7337173923043085,835.5741033960259
45.479371,-73.613282,94.0,9.00836937248728,949.7269977009399
45.480028,-73.612426,96.8,8.270390499609725,1050.305445290779
45.480451,-73.61139,95.5,6.114620992362397,1152.7766791054046
45.481154,-73.610543,94.5,10.557135324271984,1262.2346330696644
45.48203,-73.609894,94.6,6.938911223949922,1372.4066133440213
45.482741,-73.609187,94.8,10.060947427356869,1469.6836632257528
45.483539,-73.608503,95.2,4.766772840896176,1574.5077162922214
45.484265,-73.607731,96.0,5.29762605439334,1675.7190846206433
45.485143,-73.606987,99.3,10.996885984609682,1789.7945306417735
45.485846,-73.606177,101.9,6.083032321858392,1893.8110135809006
45.48643,-73.605188,102.6,7.375485724289316,1995.9675670275399
45.487167,-73.604143,103.8,10.177563022817722,2113.7438197887845
45.487652,-73.605377,112.6,9.785629509160016,2225.4829209881786
45.488143,-73.606299,121.6,6.017527610378212,2316.435479765228
45.488423,-73.607143,129.2,8.308322070985309,2397.662930212744
45.488385,-73.608187,137.0,4.387926282665448,2481.1433776139497
45.488002,-73.609421,143.0,7.644793156602495,2587.404292213183
45.487663,-73.610461,146.3,5.169236820100435,2677.8585831575415
45.487526,-73.611537,151.1,10.107629863422028,2774.5928815825314
45.487936,-73.612534,155.3,7.596988278481319,2865.3415546803867
45.488061,-73.612494,156.7,9.413155370670717,2902.2938253680554
45.488212,-73.611084,159.7,6.957519050463394,3016.252953936105
45.488584,-73.609938,161.4,6.202296590935452,3115.805205342052
45.489208,-73.608442,167.9,7.849882183962773,3252.911599935578
45.489636,-73.607455,174.5,4.580738039820232,3346.952566260089
45.490187,-73.606616,182.2,11.744488008264339,3439.2647886190557
45.490576,-73.60633,187.6,5.077979324076017,3505.3980337580906
45.491106,-73.605399,191.1,6.576770937681939,3602.3160551026003
45.491598,-73.604216,190.4,9.280014750027414,3710.1087548133564
45.492486,-73.603379,187.4,12.49298184334319,3830.5525893259987
45.492992,-73.603987,189.0,10.57882197659678,3926.761870228403
45.493417,-73.603515,181.9,6.843987861137713,4015.168229487758
45.493604,-73.604007,174.8,12.612139334808985,4132.00652570391
45.493807,-73.605465,171.0,5.421674831946608,4250.480776890111
45.494197,-73.605644,163.0,13.614798263713999,4385.959334909295
45.494271,-73.604148,155.3,12.499746085817174,4506.346334417619
45.494848,-73.602904,148.3,5.69428156106301,4632.977810737788
45.494802,-73.60386,140.3,2.6214632958690207,4727.666396111387
45.494814,-73.604838,136.0,6.189717155421785,4806.976094802287
45.495301,-73.605675,133.3,11.517706303895686,4899.415766081615
45.49567,-73.60724,133.0,6.146234435504327,5031.188945105022
45.496036,-73.608704,131.1,8.070001774817664,5154.1342233878595
45.495984,-73.610002,129.3,6.068673253733381,5258.498806290515
45.495364,-73.610093,130.7,11.052232905666045,5343.986832823753
45.494601,-73.60959,136.3,10.54161167656822,5447.468216611777
45.494248,-73.610681,137.8,7.7201809581165,5555.702189722494
45.494253,-73.611882,145.7,6.755653059332898,5656.037452825485
45.493596,-73.612256,150.2,7.756411770001506,5753.059892273087
45.493263,-73.611262,158.4,4.7898213752322185,5843.821129817205
45.492533,-73.611737,166.7,4.907608852828346,5939.925875557644
45.492752,-73.612774,172.4,8.460137217187066,6026.395221409721
45.49283,-73.613702,173.9,10.321363055065444,6128.748685951357
45.49282,-73.613254,173.6,1.9181595343969635,6196.914296636381
45.492404,-73.611767,168.2,8.388295438550754,6330.626947776957
45.49241,-73.611046,169.4,1.8910201152396675,6413.104859939914
45.492009,-73.610209,177.9,8.40728874944993,6494.099263765933
45.491505,-73.609988,185.5,4.193146844640104,6574.255795214456
45.490801,-73.610714,188.0,6.628652502585764,6671.5067063583865
45.489898,-73.611561,182.5,9.971231756972186,6793.498721350781
45.488911,-73.611847,172.3,8.851363183050193,6915.362603585793
45.488306,-73.610582,160.7,8.298386667240957,7051.5672176303615
45.488756,-73.609444,163.1,10.67953563991485,7155.9760880603735
45.489162,-73.608245,168.6,6.363173798434174,7260.732367458917
45.489427,-73.607596,170.3,2.2135000950804247,7322.145483583353
45.489257,-73.606983,154.9,7.534169807468386,7376.935112555991
45.489178,-73.606413,137.6,4.010764941800469,7430.009783243016
45.488721,-73.605569,125.8,7.260505603150748,7516.2391516826265
45.488352,-73.606674,125.8,9.409013050107907,7625.8358579048845
45.487897,-73.607779,126.6,7.105498544324974,7727.980687977271
45.487396,-73.609043,126.1,12.048447195861844,7841.757461957415
45.486888,-73.610147,125.4,10.177137276330786,7945.306051712244
45.486263,-73.61118,125.8,6.571363279463121,8052.187322846204
45.485611,-73.612298,126.7,10.098236981728624,8166.426595520585
45.485032,-73.613204,127.5,7.103715556201591,8262.912495985765
45.484385,-73.614321,128.7,9.79265583186791,8376.756923754436
45.483799,-73.613857,123.3,8.985184964402322,8491.471039813467
45.483196,-73.612467,110.3,10.503167665239298,8619.554448115952
45.482449,-73.611077,98.5,9.172945312663366,8756.749262690824
45.481921,-73.609979,94.6,2.2388170030780263,8861.791149311708
