latitude,longitude,elevation,distance,cumulative_distance
45.489514,-73.567571,23.2,0.0,0.0
45.488832,-73.567059,21.4,3.1208437453910824,112.30391126980055
45.487971,-73.565658,20.4,2.642302776829598,263.51442419618223
45.487158,-73.56423,22.6,3.2087499151568655,421.78008150333915
45.486202,-73.565139,23.6,2.5817671608767085,577.9513675723169
45.485526,-73.566733,23.6,4.365665046182179,725.5642375320538
45.484573,-73.56809,25.4,2.9310291275912608,877.7147573425211
45.483584,-73.56944,26.4,2.7007546892794636,1032.7009884668757
45.482486,-73.570643,24.6,3.217871226095412,1188.5806162147474
45.481507,-73.571962,25.0,2.9311047749505934,1345.2876467054691
45.480701,-73.572986,25.0,0.0,1467.6030033481825
45.48065,-73.573043,25.4,0.0,1479.0373903773661
45.479568,-73.574304,25.6,2.931152610969813,1635.5926629529731
45.478976,-73.575757,23.6,2.5818742233481,1792.377802754386
45.478077,-73.577075,24.0,3.498382592920231,1938.2006287933357
45.47776,-73.57799,23.8,4.512249719756852,2036.6272964993013
45.478592,-73.579718,23.2,2.317133658242184,2201.5261771290593
45.479344,-73.581133,25.8,0.0,2343.9029494158913
45.479354,-73.581254,26.6,0.0,2354.5947266768967
45.478576,-73.582765,28.2,3.069566089036535,2505.7103255942025
45.477744,-73.584384,25.8,3.069595953415447,2666.2742592637246
45.477242,-73.584845,24.4,0.0,2735.6892633171474
45.475869,-73.585958,24.8,3.8899377121256307,2913.896565989332
45.475152,-73.586541,24.6,3.0632424413161377,3007.822946882197
45.474006,-73.587456,24.6,3.0123414340991443,3157.5266806494596
45.47289,-73.588493,25.0,2.3436185000786587,3309.2492011567615
45.472912,-73.588518,24.6,0.0,3312.379714799105
45.473069,-73.58935,25.4,3.645345193067599,3385.857028548513
45.473901,-73.591098,26.4,3.5301687263300146,3551.948380311419
45.474682,-73.59271,26.6,2.2486847560880894,3706.2007531763293
45.475139,-73.593606,28.8,0.0,3794.759457071779
45.47584,-73.595072,31.0,2.0482796469802853,3935.6652566047514
45.476653,-73.596582,35.4,3.488734419692592,4092.1905303198864
45.477616,-73.597395,43.2,2.5818946539341603,4240.697699766484
45.478496,-73.597261,46.2,2.4451048220435108,4341.528278992787
45.479533,-73.598144,53.0,3.0712532328623747,4489.394659468293
45.480214,-73.599642,54.0,3.069507870524025,4630.722064817997
45.480813,-73.600909,56.2,0.0,4751.787007706415
45.480976,-73.601318,56.2,2.430647698376306,4788.946474791577
45.481613,-73.602714,59.0,1.5347287561812646,4920.264812824397
45.482259,-73.604166,70.2,2.1956473297566688,5056.824336437642
45.482816,-73.605478,83.0,2.430596811947634,5179.416453105655
45.483021,-73.60608,91.6,2.072223736238464,5232.937905731445
45.483642,-73.60736,97.6,2.889025171662656,5355.761208161051
45.484211,-73.608634,104.2,3.5296899595417384,5475.870685967578
45.48488,-73.610163,114.6,0.0,5617.966338893534
45.485622,-73.611654,129.6,3.1506501555435262,5762.857800206951
45.485766,-73.611686,132.8,1.1401838868597918,5786.827495535446
45.486294,-73.611142,132.6,2.7006823243677553,5866.478217570649
45.48719,-73.609683,132.0,2.5817528038101614,6019.5347529323835
45.487565,-73.609222,137.2,0.0,6090.778462634024
45.488003,-73.609536,150.2,0.0,6146.557359490828
45.488288,-73.609728,164.0,0.0,6183.099128632594
45.488816,-73.610138,174.8,2.1116852703388456,6252.527956550115
45.489277,-73.610406,188.0,0.0,6309.963513635983
45.489632,-73.610042,194.4,0.0,6365.886154909146
45.489978,-73.609453,200.2,2.6196906701074063,6430.007270025236
45.490349,-73.607776,198.2,3.6027182525645225,6569.688938487249
45.490966,-73.606048,197.4,2.9308718610775193,6726.687160308914
45.491526,-73.604666,198.8,1.9824843316333212,6854.169079200335
45.491408,-73.604467,200.6,0.0,6881.227845161216
45.491408,-73.604467,199.8,0.0,6881.227845161216
45.491408,-73.604467,199.4,0.0,6881.227845161216
45.492115,-73.603629,195.4,3.396947203192739,6992.440003650075
45.493174,-73.604109,196.2,2.8771639333040757,7150.679410302521
45.493206,-73.602176,181.8,2.3163988527086343,7315.807196487641
45.492243,-73.601363,167.8,3.2735649037005823,7485.103361537954
45.492083,-73.601082,156.4,3.644533913584654,7637.008131437013
45.491818,-73.600179,146.6,0.0,7746.675903777798
45.492435,-73.598867,136.0,2.3169037519270494,7874.019270745083
45.492342,-73.598368,131.0,0.0,7939.129671861294
45.491546,-73.59801,122.2,3.4620502652723806,8056.244750455275
45.490794,-73.596243,105.0,3.7386601596148696,8219.701496946105
45.49072,-73.594342,89.2,2.3164770699443564,8380.045581869925
45.489978,-73.594566,77.0,2.3165007307642678,8543.3857609609
45.490432,-73.593971,73.0,0.0,8616.175171243198
45.489878,-73.594202,68.0,3.5822780354520174,8687.86603936271
45.488778,-73.593773,57.4,3.0691998868089296,8854.129997348491
45.488026,-73.592026,55.8,3.256289320441112,9015.683194905054
45.487315,-73.590317,56.6,3.2737304131167915,9173.06670776047
45.486854,-73.589242,56.2,3.303421701054452,9274.88274316154
45.486304,-73.587853,55.4,0.0,9406.99760594013
45.485642,-73.586346,54.0,5.244638459575936,9549.406096121827
45.484726,-73.584877,43.8,2.6423850936531337,9704.578691823826
45.484061,-73.583539,29.0,2.0722040845031,9835.954949140467
45.484,-73.583405,25.6,0.0,9848.692772582257
45.483222,-73.582042,22.4,3.2178560305542154,9990.23568468676
45.482278,-73.580781,20.8,2.317072177097909,10135.430595781565
45.481258,-73.579366,19.4,2.931110917591694,10295.771161304214
45.480979,-73.578362,21.2,2.6944472567385493,10400.143173757195
45.481405,-73.577658,20.8,3.8222519146782687,10477.535397035566
45.482294,-73.576262,21.8,3.529778984122755,10626.81362406363
45.482995,-73.57511,22.0,3.273876134591292,10747.812163856364
45.48375,-73.573882,21.2,3.069380949328401,10876.538492532645
45.484694,-73.57232,20.8,2.8350352174132643,11038.647871900303
45.485357,-73.571123,21.6,2.4938251086990086,11158.86000084198
45.486378,-73.569901,21.2,2.5989286649350194,11310.395229521882
45.487546,-73.56935,21.4,2.9964922328963652,11451.815344568862
45.488717,-73.568506,23.0,4.079970256870145,11601.64697424816
45.48951,-73.567802,23.6,0.0,11709.553452315819
