latitude,longitude,elevation,distance,cumulative_distance
45.466115,-73.619366,62.4,0.0,0.0
45.466442,-73.618426,61.6,3.09882031987466,100.73254208846996
45.466963,-73.617248,62.2,3.1355690487328407,209.9610423769426
45.467506,-73.616427,62.6,3.327447918389457,300.993140121665
45.468004,-73.615338,60.8,4.531968885418918,403.3193387745228
45.468479,-73.614287,59.2,3.083196270228908,501.3957751324692
45.469056,-73.613107,57.2,0.0,614.3101455777481
45.469574,-73.612013,56.6,3.0987291940917903,717.73070083946
45.470197,-73.611008,55.8,4.670059825701618,823.0225407774165
45.470736,-73.609862,55.0,0.0,931.5253354945061
45.471258,-73.608717,54.6,5.377796706506644,1038.467463974673
45.471816,-73.60769,52.2,4.805548701646131,1140.9830533687557
45.472391,-73.606792,51.8,4.367284967630425,1237.4868267716458
45.473072,-73.606131,48.8,1.4857109148903611,1330.1971827831403
45.473068,-73.605917,47.2,0.7051582252920578,1351.2405214882479
45.473565,-73.605207,48.4,3.012106375412296,1430.266657547624
45.47431,-73.60425,47.8,0.0,1542.8270173149854
45.475024,-73.603462,48.2,0.0,1643.7080679669768
45.475792,-73.602522,46.6,5.247682640631603,1756.5695827619418
45.476272,-73.601687,46.0,4.114409307976342,1841.5448570401088
45.476992,-73.60087,47.0,10.181577244955644,1944.03265688631
45.477508,-73.60029,47.8,0.736546828065648,2017.4164956409995
45.478243,-73.599266,47.2,1.8609298036543271,2132.3314108593445
45.479011,-73.598426,44.8,0.0,2240.1203987885324
45.479393,-73.598024,44.2,0.4513876490318808,2293.6026957650474
45.47992,-73.597427,44.4,0.0,2369.1221676611476
45.480659,-73.596589,44.6,0.0,2475.4879320610385
45.481379,-73.595757,46.4,3.1469921173093383,2579.9267366998465
45.482208,-73.594861,46.4,10.114163362235237,2696.181841723568
45.482989,-73.593984,47.8,0.0,2807.035626492014
45.483664,-73.593216,48.8,0.0,2903.405309293287
45.48416,-73.592666,49.4,2.877373209186371,2974.9156486810825
45.484854,-73.591821,49.8,3.2738137021736526,3077.070374136065
45.485578,-73.591002,50.4,3.2178078606340415,3180.549905305132
45.486338,-73.590143,49.8,4.671036658249822,3288.862780934268
45.486881,-73.589655,48.4,0.7935446035628785,3362.8878441592306
45.487388,-73.590609,50.0,4.237844130745084,3458.8338807250625
45.48777,-73.59168,48.8,2.8399365944286705,3554.546526423821
45.487817,-73.591779,48.8,0.3231275701939751,3563.9962551559015
45.487886,-73.5919,49.0,0.4571130846404543,3576.2581823688547
45.488435,-73.592941,49.6,0.0,3679.2792615353865
45.488954,-73.594086,51.2,3.0691941458539937,3786.113755759933
45.489254,-73.595059,58.4,2.103484335632582,3873.5801493428094
45.488982,-73.595335,59.0,2.673397162465163,3911.379499451507
45.48872,-73.596262,64.8,2.5889138568491186,3996.155606613908
45.488835,-73.597018,75.0,0.0,4059.6924031415283
45.489181,-73.597754,85.2,0.0,4129.789414288131
45.488781,-73.598182,86.6,3.3970117145199326,4192.773367682142
45.488344,-73.598864,85.8,4.31176016011114,4268.030260074132
45.48753,-73.599584,80.6,2.860902635788709,4375.352467576351
45.486755,-73.600211,77.6,1.6070434109282774,4475.240137103605
45.485994,-73.601024,74.0,5.193449393195519,4584.727866813841
45.485411,-73.60201,72.8,3.069320752036492,4687.372146504875
45.485024,-73.602643,71.8,0.0,4754.135330353158
45.485114,-73.603494,78.4,2.6942772184808623,4828.413237545464
45.484768,-73.604256,84.2,3.069343832659134,4902.275454840977
45.484451,-73.60512,88.2,2.700731399760236,4982.508864139833
45.484414,-73.605236,88.0,0.5755043949385494,4997.018131505414
45.484397,-73.605621,88.6,2.4938531079914186,5035.771594015242
45.484861,-73.606506,94.2,5.1701829908272625,5122.839769470425
45.485069,-73.606893,95.0,0.0,5163.5564164648895
45.484336,-73.607546,92.2,2.9310349760849617,5260.707908837837
45.483629,-73.608256,90.8,2.0722121470625123,5358.621664346152
45.482906,-73.60889,89.6,2.647931024327707,5454.186943230975
45.482406,-73.60935,89.8,3.2491241245766536,5523.885760375613
45.48177,-73.609946,88.2,3.49826680808223,5609.752117949427
45.480944,-73.610541,88.4,3.2491410281138147,5714.109778488422
